,date,totalDatasets,totalDiscussions,totalScripts,totalSubmissions
0,2019-08-13T00:00:00Z,0,0,3,1
1,2019-08-14T00:00:00Z,0,0,5,3
2,2019-08-15T00:00:00Z,0,0,11,3
3,2019-08-16T00:00:00Z,0,0,5,4
4,2019-08-17T00:00:00Z,0,2,16,4
5,2019-08-18T00:00:00Z,0,0,8,1
6,2019-08-20T00:00:00Z,0,0,5,4
7,2019-09-04T00:00:00Z,0,0,2,0
8,2019-09-05T00:00:00Z,0,0,2,1
9,2019-09-06T00:00:00Z,0,0,4,0
10,2019-09-07T00:00:00Z,0,0,3,1
11,2019-08-11T00:00:00Z,0,1,5,1
12,2019-08-12T00:00:00Z,0,0,2,2
13,2019-08-19T00:00:00Z,0,0,6,2
14,2019-08-28T00:00:00Z,0,2,0,1
15,2019-08-29T00:00:00Z,0,3,0,0
16,2019-09-02T00:00:00Z,0,2,0,0
17,2019-09-03T00:00:00Z,0,2,0,0
18,2019-11-09T00:00:00Z,0,1,0,0
19,2019-05-20T00:00:00Z,0,0,0,1
20,2019-05-23T00:00:00Z,0,0,0,5
21,2019-05-28T00:00:00Z,0,0,0,1
22,2019-06-01T00:00:00Z,0,0,0,2
23,2019-08-08T00:00:00Z,0,0,0,1
24,2019-08-10T00:00:00Z,0,0,0,3
25,2019-08-21T00:00:00Z,0,0,0,2
26,2019-08-23T00:00:00Z,0,0,0,2
27,2019-08-30T00:00:00Z,0,0,0,1
28,2019-08-31T00:00:00Z,0,0,0,1
29,2019-09-01T00:00:00Z,0,0,0,1
30,2019-09-09T00:00:00Z,0,0,0,5
31,2019-09-10T00:00:00Z,0,0,0,5
32,2019-09-12T00:00:00Z,0,0,0,5
33,2019-09-13T00:00:00Z,0,0,0,1
34,2019-10-20T00:00:00Z,0,0,0,5
35,2019-10-21T00:00:00Z,0,0,0,5
36,2019-10-22T00:00:00Z,0,0,0,2
37,2019-10-23T00:00:00Z,0,0,0,1
38,2019-10-24T00:00:00Z,0,0,0,1
39,2019-10-25T00:00:00Z,0,0,0,2
40,2019-10-26T00:00:00Z,0,0,0,1
41,2019-10-27T00:00:00Z,0,0,0,4
42,2019-10-28T00:00:00Z,0,0,0,1
43,2019-10-29T00:00:00Z,0,0,0,1
44,2019-10-30T00:00:00Z,0,0,0,2
45,2019-10-31T00:00:00Z,0,0,0,3
46,2019-11-07T00:00:00Z,0,0,0,1
47,2019-11-08T00:00:00Z,0,0,0,4
